,Unnamed: 0,label,text,t1
0,0,retirements,request information monday november pm pensions request information dear sir madam behalf client considering transferring benefits pension fund please find attached letter authority allow release information us benefits client holds scheme please provide following information earliest convenience details date joining scheme date leaving scheme please provide copy cash equivalent transfer value cetv issued jan cetv expiry date cetv reduced enhanced normal retirement date nrd scheme scheme permit partial transfers please provide copy latest scheme booklet breakdown benefits benefits date leaving including breakdown pre gmp post gmp pre excess post excess post excess post excess gmp franking apply basis revaluation rate tranches deferment escalation rate tranches payment lump sum payable addition scheme pension scheme provide bridging pension state pension deduction provide details death benefits lump sum death benefits deferment lump sum death benefits payment guarantee period spouse pension death deferment spouse pension death retirement spouse pension reduced age provide details legal spouse scheme pay spouse pension partner dependent children pension provide details pension commencement lump sum scheme provide pension commencement lump sum pcls pcls option commutation factors age age scheme funding recent scheme funding level please provide latest scheme funding summary early late retirement earliest age member retire earliest age member retire unreduced benefits early retirement factors age nrd member take late retirement late retirement factors nrd early late retirement taken benefits revalued normal retirement date early late retirement date factor applied client age please also provide following immediate retirement quote given time nature request would greatly appreciate requested information via email thank assistance matter kind regards administration office address road street aa tel ,request information monday november pm pension request information dear sir madam behalf client consider transfer benefit pension fund please find attach letter authority allow release information us benefit client hold scheme please provide follow information early convenience detail date join scheme date leave scheme please provide copy cash equivalent transfer value cetv issue jan cetv expiry date cetv reduce enhance normal retirement date nrd scheme scheme permit partial transfer please provide copy late scheme booklet breakdown benefit benefit date leave include breakdown pre gmp post gmp pre excess post excess post excess post excess gmp franking apply basis revaluation rate tranche deferment escalation rate tranches payment lump sum payable addition scheme pension scheme provide bridge pension state pension deduction provide detail death benefit lump sum death benefit deferment lump sum death benefit payment guarantee period spouse pension death deferment spouse pension death retirement spouse pension reduce age provide detail legal spouse scheme pay spouse pension partner dependent child pension provide detail pension commencement lump sum scheme provide pension commencement lump sum pcls pcls option commutation factor age age scheme funding recent scheme funding level please provide late scheme funding summary early late retirement early age member retire early age member retire unreduce benefit early retirement factor age nrd member take late retirement late retirement factor nrd early late retirement take benefit revalue normal retirement date early late retirement date factor apply client age please also provide follow immediate retirement quote give time nature request would greatly appreciate request information via email thank assistance matter kind regard administration office address road street aa tel
1,1,mdu,pension scheme friday november pm rbc pension scheme thank email ni number zzz date birth kind regards nov wrote dear mrs pension scheme thank email regarding pension scheme enable us answer enquiry please could provide date birth national insurance number data verification purposes queries please hesitate contact customer support centre pm monday friday helpline alternatively please e mail us sincerely administrator customer support centre pensions road street aa direct dial november pensions change address mrs writing advise recently moved house new address road street aa sure last address listed road street aa road street aa need information please contact kind regards ,pension scheme friday november pm rbc pension scheme thank email ni number zzz date birth kind regard nov write dear mrs pension scheme thank email regard pension scheme enable -PRON- answer enquiry please could provide date birth national insurance number datum verification purpose query please hesitate contact customer support centre pm monday friday helpline alternatively please e mail -PRON- sincerely administrator customer support centre pensions road street aa direct dial november pension change address mrs writing advise recently move house new address road street aa sure last address list road street aa road street aa need information please contact kind regard
2,2,mdu,change address scheme november change address hi team refer email tried contact member mentioned address however reply received hence could please forward attached verification form email ask member daughter get signed member pensions october change address hi member name scheme name scheme nino zzz could please create admin job request received change address member daughter please get back us pensions september change address good morning emailing behalf dob ref tst mum changed address gone new address road street aa need information please hesitate contact ,change address scheme november change address hi team refer email try contact member mention address however reply receive hence could please forward attach verification form email ask member daughter get sign member pension october change address hi member name scheme name scheme nino zzz could please create admin job request receive change address member daughter please get back us pension september change address good morning emailing behalf dob ref tst mum change address go new address road street aa need information please hesitate contact
3,3,transfers,pension fund ref friday november pm pension fund pension fund ref hi apologies chasing client us information please provide update progress information request estimated date expect response information many thanks advance please quote client case number replies regards behalf fin corp ltd road street aa friday november pm pension fund pension fund ref hi please provide update progress information request estimated date expect response information many thanks advance please quote client case number replies regards behalf fin corp ltd road street aa friday november pm pension fund pension fund ref please quote client case number replies hi please find attached pension information projections letter together client signed letter authority loa please provide us requested information soon possible secure email possible transfer discharge requirements please enclose discharge transfer encashment form please confirm form id required mutual client please confirm funds paid directly fin corp ltd client benefit please confirm discharge encashment transfer plan supported fin corp options pension transfer service please email tel regards ,pension fund ref friday november pm pension fund pension fund ref hi apology chase client us information please provide update progress information request estimate date expect response information many thank advance please quote client case number reply regard behalf fin corp ltd road street aa friday november pm pension fund pension fund ref hi please provide update progress information request estimate date expect response information many thank advance please quote client case number reply regard behalf fin corp ltd road street aa friday november pm pension fund pension fund ref please quote client case number reply hi please find attach pension information projection letter together client sign letter authority loa please provide -PRON- request information soon possible secure email possible transfer discharge requirement please enclose discharge transfer encashment form please confirm form -PRON- would require mutual client please confirm fund pay directly fin corp ltd client benefit please confirm discharge encashment transfer plan support fin corp option pension transfer service please email tel regard
4,4,transfers,zzz friday november pm pension fund zzz dear sir madam member deferred please provide us update receive transfer information guaranteed transfer value queries please hesitate contact ,zzz friday november pm pension fund zzz dear sir madam member defer please provide -PRON- update receive transfer information guarantee transfer value query please hesitate contact
5,5,transfers,letter authority november letter authority good morning member opted would like request transfer pack asap please let know issues asap regards pensions date wednesday april letter authority dear sir madam please provide following information policy please find attached letter authority client enable release information emailed therefore please kindly provide following information writing dates salary information date joining leaving scheme member final pensionable salary pension sharing order pension earmarking order plan please provide details may apply high status member commutation factor used lta tax charge scheme accrual rate pension benefits date leaving scheme gmp benefits showing pre post splits rates revaluation deferment escalation payment excess benefits showing pre post splits rates revaluation deferment escalation payment list discretionary increases applied pension either deferment payment last yrs breakdown transferred benefits benefits treated main scheme benefits please highlight differences fixed pension nra service credit gmp contained member avcs current value transferred main scheme benefits funds invested member switch different funds scheme still active avc scheme available please provide details provider fund charges current value avc member holds member purchase added years member transfer external pensions avc scheme used fund tfc retirement accrual rate commutation factor tfc scheme retirement age early retirement early retirement allowed age actuarial reduction factors currently applied members pensions event early retirement table factors available please provide percentage reduction applicable year early whether compound simple reduction would member benefits revalued date actual normal retirement upon early retirement revalued normal retirement assumed rate benefits projected normal retirement benefit payable full pension basis maximum pension commencement lump sum reduced pension basis tax free cash member tfc date leaving would amount revalue rate scheme pay hmrc post day maximum cash amount pre day ir maximum cash protected scheme current tfc commutation factors nra age tfc paid attached avc death benefits scheme pay death retirement lump sum much pension would member spouse receive upon death retirement death retirement guarantee scheme apply pension payable death spouse dependent late retirement please provide late retirement factors applicable member retire beyond scheme nra contracting scheme contracted pre post yes post basis reference scheme protected rights underpin mixed benefit transfer value total transfer value cetv showing splits gmp protected rights pre post calculation guarantee dates also amount member contributions included tv scheme information scheme normal retirement age scheme open employees restrictions scheme current funding position would deferred members benefits affected way scheme member transfer club scheme allow partial transfer benefits yes please outline restrictions would applied provide details basis partial transfer would allowed please confirm one type section version scheme membership one applies member date scheme equalised earliest age benefits taken unreduced transfer proceed would scheme insistent forms must returned within guarantee period could discretion used time please forward copies warranty discharge forms would need completed client decided transfer benefits thank assistance matter faithfully def ,letter authority november letter authority good morning member opt would like request transfer pack asap please let know issue asap regard pension date wednesday april letter authority dear sir madam please provide follow information policy please find attach letter authority client enable release information email therefore please kindly provide follow information writing date salary information date join leave scheme member final pensionable salary pension sharing order pension earmark order plan please provide detail may apply high status member commutation factor use lta tax charge scheme accrual rate pension benefit date leave scheme gmp benefit show pre post split rate revaluation deferment escalation payment excess benefit show pre post split rate revaluation deferment escalation payment list discretionary increase apply pension either deferment payment last yrs breakdown transfer benefit benefit treat main scheme benefit please highlight difference fix pension nra service credit gmp contain member avcs current value transfer main scheme benefit fund invest member switch different fund scheme still active avc scheme available please provide detail provider fund charge current value avc member hold member purchase add year member transfer external pension avc scheme use fund tfc retirement accrual rate commutation factor tfc scheme retirement age early retirement early retirement allow age actuarial reduction factor currently apply member pension event early retirement table factor available please provide percentage reduction applicable year early whether compound simple reduction would member benefit revalue date actual normal retirement upon early retirement revalue normal retirement assume rate benefit project normal retirement benefit payable full pension basis maximum pension commencement lump sum reduce pension basis tax free cash member tfc date leave would amount revalue rate scheme pay hmrc post day maximum cash amount pre day ir maximum cash protect scheme current tfc commutation factor nra age tfc pay attach avc death benefit scheme pay death retirement lump sum much pension would member spouse receive upon death retirement death retirement guarantee scheme apply pension payable death spouse dependent late retirement please provide late retirement factor applicable member retire beyond scheme nra contracting scheme contract pre post yes post basis reference scheme protect right underpin mixed benefit transfer value total transfer value cetv showing split gmp protect right pre post calculation guarantee date also amount member contribution include tv scheme information scheme normal retirement age scheme open employee restriction scheme current funding position would defer member benefit affect way scheme member transfer club scheme allow partial transfer benefit yes please outline restriction would apply provide detail basis partial transfer would allowed please confirm one type section version scheme membership one apply member date scheme equalise early age benefit take unreduced transfer proceed would scheme insistent form must returned within guarantee period could discretion use time please forward copy warranty discharge form would need complete client decide transfer benefit thank assistance matter faithfully def
6,6,mdu,change address november change address dear pensions pension plan wish inform new address mail currently mail fixed period could get telephone call mobile changed home work please advise email new address assuming post may received opened office staff working home sincerely abcd ,change address november change address dear pension pension plan wish inform new address mail currently mail fix period could get telephone call mobile change home work please advise email new address assume post may receive open office staff work home sincerely abcd
7,7,retirements,rbc retirement option form monday november pm pensions fwd rbc retirement option form national insurance number address attached forms assumed also include email please find attached retirement forms take retirement th birthday please confirm pension rights wish take tax free cash plan indicated reduced amount form please confirm please let know amended annual pension also please confirm first pension payment made date month also please confirm receive cash lump sum also post originals many thanks help iphone begin forwarded message date november gmt pensions rbc retirement option form ,rbc retirement option form monday november pm pension fwd rbc retirement option form national insurance number address attach form assume also include email please find attach retirement form take retirement th birthday please confirm pension right wish take tax free cash plan indicate reduced amount form please confirm please let know amend annual pension also please confirm first pension payment make date month also please confirm receive cash lump sum also post original many thank help iphone begin forward message date november gmt pension rbc retirement option form
8,8,mdu,def pension b national insurance number zzz november def pension b national insurance number zzz hi team please see query reply accordingly thank pensions november def pension b national insurance number zzz please find attached confirmation change bank details requested regards wed oct wrote dear def group pension plan thank email regarding def group pension plan request logged change address receive written response administration department within working days also confirm due data protection requirements cannot update records without signed letter file attached change bank details form back us order update records queries please hesitate contact customer support centre pm monday friday alternatively please e mail us sincerely pensions october def pension dob national insurance number may concern writing inform full time course course details attached currently proof attached address also attached copy id course bank details payment bank payments previously mum bank account payment received since august mum address previous address would appreciate could please email confirmation payments commence regards ,def pension b national insurance number zzz november def pension b national insurance number zzz hi team please see query reply accordingly thank pension november def pension b national insurance number zzz please find attach confirmation change bank detail request regard -PRON- would oct write dear def group pension plan thank email regard def group pension plan request logged change address receive write response administration department within working day also confirm due datum protection requirement can not update record without sign letter file attach change bank detail form back us order update record query please hesitate contact customer support centre pm monday friday alternatively please e mail -PRON- sincerely pension october def pension dob national insurance number may concern writing inform full time course course detail attach currently proof attach address also attach copy -PRON- would course bank detail payment bank payment previously mum bank account payment receive since august mum address previous address would appreciate could please email confirmation payment commence regard
9,9,retirements,pensions pension scheme ref tst monday november pm pensions cc ifa pensions pension scheme ref tst hi team please find enclosed requested retirement pack normal retirement per policy rules cannot provided hence provided normal retirement pack regards ,pension pension scheme ref tst monday november pm pensions cc ifa pension pension scheme ref tst hi team please find enclose request retirement pack normal retirement per policy rule can not provide hence provide normal retirement pack regard
